"Loc","Type","Spec","TAG","date","Family","Order","lat","lng","Spec_group","Stage","Sex","Det","Number","Method"
"Ie","tree","Populus x canadensis (P. deltoides x P. nigra)","Ie_tree",2023-05-27,"Salicaceae","Malpighiales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat"
"Ie","tree","Raphanus raphanistrum","Ie_tree",2023-05-27,"Brassicaceae","Brassicales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Sambucus nigra","Ie_tree",2023-05-27,"Viburnaceae","Dipsacales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"Ie","tree","Sisymbrium officinale","Ie_tree",2023-05-27,"Brassicaceae","Brassicales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Solanum tuberosum","Ie_tree",2023-05-27,"Solanaceae","Solanales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","tree","Sonchus oleraceus","Ie_tree",2023-05-27,"Asteraceae","Asterales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Stellaria media","Ie_tree",2023-05-27,"Caryophyllaceae","Caryophyllales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Taraxacum officinale s.l. (incl. all sec.)","Ie_tree",2023-05-27,"Asteraceae","Asterales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","tree","Urtica dioica","Ie_tree",2023-05-27,"Urticaceae","Rosales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie1","crtl","Apium graveolens","Ie1_crtl",2023-05-27,"Apiaceae","Apiales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie1","crtl","Capsella bursa-pastoris","Ie1_crtl",2023-05-27,"Brassicaceae","Brassicales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie1","crtl","Chenopodium album","Ie1_crtl",2023-05-27,"Amaranthaceae","Caryophyllales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","crtl","Convolvulus sepium","Ie1_crtl",2023-05-27,"Convolvulaceae","Solanales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","crtl","Crepis capillaris","Ie1_crtl",2023-05-27,"Asteraceae","Asterales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie1","crtl","Equisetum arvense","Ie1_crtl",2023-05-27,"Equisetaceae","Equisetales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie1","crtl","Erigeron canadensis","Ie1_crtl",2023-05-27,"Asteraceae","Asterales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","crtl","Geranium molle","Ie1_crtl",2023-05-27,"Geraniaceae","Geraniales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ie1","crtl","Hordeum vulgare","Ie1_crtl",2023-05-27,"Poaceae","Poales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie1","crtl","Poa annua","Ie1_crtl",2023-05-27,"Poaceae","Poales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"Ie1","crtl","Sonchus oleraceus","Ie1_crtl",2023-05-27,"Asteraceae","Asterales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","crtl","Stellaria media","Ie1_crtl",2023-05-27,"Caryophyllaceae","Caryophyllales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie1","crtl","Tripleurospermum maritimum","Ie1_crtl",2023-05-27,"Asteraceae","Asterales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie1","crtl","Veronica persica","Ie1_crtl",2023-05-27,"Plantaginaceae","Lamiales",50.869884,2.80778,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie1","tree","Apium graveolens","Ie1_tree",2023-05-27,"Apiaceae","Apiales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","tree","Cerastium glomeratum","Ie1_tree",2023-05-27,"Caryophyllaceae","Caryophyllales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie1","tree","Cirsium arvense","Ie1_tree",2023-05-27,"Asteraceae","Asterales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Ie1","tree","Convolvulus sepium","Ie1_tree",2023-05-27,"Convolvulaceae","Solanales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie1","tree","Crataegus monogyna","Ie1_tree",2023-05-27,"Rosaceae","Rosales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Ie1","tree","Galium aparine","Ie1_tree",2023-05-27,"Rubiaceae","Gentianales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie1","tree","Geranium molle","Ie1_tree",2023-05-27,"Geraniaceae","Geraniales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie1","tree","Poa trivialis","Ie1_tree",2023-05-27,"Poaceae","Poales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Ie1","tree","Populus x canadensis (P. deltoides x P. nigra)","Ie1_tree",2023-05-27,"Salicaceae","Malpighiales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"Ie1","tree","Sonchus oleraceus","Ie1_tree",2023-05-27,"Asteraceae","Asterales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Ie1","tree","Trifolium repens","Ie1_tree",2023-05-27,"Fabaceae","Fabales",50.868481,2.808143,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","crtl","Achillea millefolium","Ie2_crtl",2023-05-27,"Asteraceae","Asterales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","crtl","Arrhenatherum elatius","Ie2_crtl",2023-05-27,"Poaceae","Poales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",65,"10m² quadrat"
"Ie2","crtl","Dactylis glomerata","Ie2_crtl",2023-05-27,"Poaceae","Poales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Ie2","crtl","Galium aparine","Ie2_crtl",2023-05-27,"Rubiaceae","Gentianales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","crtl","Geranium dissectum","Ie2_crtl",2023-05-27,"Geraniaceae","Geraniales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","crtl","Geranium molle","Ie2_crtl",2023-05-27,"Geraniaceae","Geraniales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","crtl","Glechoma hederacea","Ie2_crtl",2023-05-27,"Lamiaceae","Lamiales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","crtl","Persicaria amphibia","Ie2_crtl",2023-05-27,"Polygonaceae","Caryophyllales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","crtl","Phalaris arundinacea","Ie2_crtl",2023-05-27,"Poaceae","Poales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","crtl","Rubus Sec. Rubus","Ie2_crtl",2023-05-27,"Rosaceae","Rosales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","crtl","Solanum tuberosum","Ie2_crtl",2023-05-27,"Solanaceae","Solanales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","crtl","Urtica dioica","Ie2_crtl",2023-05-27,"Urticaceae","Rosales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie2","crtl","Veronica persica","Ie2_crtl",2023-05-27,"Plantaginaceae","Lamiales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","crtl","Vicia sativa","Ie2_crtl",2023-05-27,"Fabaceae","Fabales",50.894154,2.837079,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","tree","Achillea millefolium","Ie2_tree",2023-05-27,"Asteraceae","Asterales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Anisantha sterilis","Ie2_tree",2023-05-27,"Poaceae","Poales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie2","tree","Arrhenatherum elatius","Ie2_tree",2023-05-27,"Poaceae","Poales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ie2","tree","Artemisia vulgaris","Ie2_tree",2023-05-27,"Asteraceae","Asterales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Bromus hordeaceus","Ie2_tree",2023-05-27,"Poaceae","Poales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Cerastium fontanum","Ie2_tree",2023-05-27,"Caryophyllaceae","Caryophyllales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Convolvulus sepium","Ie2_tree",2023-05-27,"Convolvulaceae","Solanales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Crataegus monogyna","Ie2_tree",2023-05-27,"Rosaceae","Rosales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Crepis capillaris","Ie2_tree",2023-05-27,"Asteraceae","Asterales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Dactylis glomerata","Ie2_tree",2023-05-27,"Poaceae","Poales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","tree","Equisetum arvense","Ie2_tree",2023-05-27,"Equisetaceae","Equisetales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","tree","Galium aparine","Ie2_tree",2023-05-27,"Rubiaceae","Gentianales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Geranium molle","Ie2_tree",2023-05-27,"Geraniaceae","Geraniales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Glechoma hederacea","Ie2_tree",2023-05-27,"Lamiaceae","Lamiales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","tree","Heracleum sphondylium","Ie2_tree",2023-05-27,"Apiaceae","Apiales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","tree","Lapsana communis","Ie2_tree",2023-05-27,"Asteraceae","Asterales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie2","tree","Poa trivialis","Ie2_tree",2023-05-27,"Poaceae","Poales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","tree","Ranunculus acris","Ie2_tree",2023-05-27,"Ranunculaceae","Ranunculales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie2","tree","Rubus Sec. Rubus","Ie2_tree",2023-05-27,"Rosaceae","Rosales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie2","tree","Sonchus asper","Ie2_tree",2023-05-27,"Asteraceae","Asterales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Stellaria holostea","Ie2_tree",2023-05-27,"Caryophyllaceae","Caryophyllales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie2","tree","Stellaria media","Ie2_tree",2023-05-27,"Caryophyllaceae","Caryophyllales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Urtica dioica","Ie2_tree",2023-05-27,"Urticaceae","Rosales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie2","tree","Vicia sativa","Ie2_tree",2023-05-27,"Fabaceae","Fabales",50.892433,2.838647,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L1","crtl","Anisantha sterilis","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L1","crtl","Arrhenatherum elatius","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",65,"10m² quadrat"
"L1","crtl","Artemisia vulgaris","L1_crtl",2023-06-10,"Asteraceae","Asterales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","crtl","Bromus hordeaceus","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","crtl","Campanula rapunculus","L1_crtl",2023-06-10,"Campanulaceae","Asterales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","crtl","Dactylis glomerata","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","crtl","Holcus lanatus","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","crtl","Poa trivialis","L1_crtl",2023-06-10,"Poaceae","Poales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L1","crtl","Rubus Sec. Rubus","L1_crtl",2023-06-10,"Rosaceae","Rosales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","crtl","Stellaria holostea","L1_crtl",2023-06-10,"Caryophyllaceae","Caryophyllales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","crtl","Urtica dioica","L1_crtl",2023-06-10,"Urticaceae","Rosales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"L1","crtl","Vicia sativa","L1_crtl",2023-06-10,"Fabaceae","Fabales",50.818477,4.672386,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Acer campestre","L1_tree",2023-06-10,"Sapindaceae","Sapindales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Arrhenatherum elatius","L1_tree",2023-06-10,"Poaceae","Poales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"L1","tree","Artemisia vulgaris","L1_tree",2023-06-10,"Asteraceae","Asterales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Corylus avellana","L1_tree",2023-06-10,"Betulaceae","Fagales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L1","tree","Daucus carota","L1_tree",2023-06-10,"Apiaceae","Apiales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Dryopteris filix-mas","L1_tree",2023-06-10,"Dryopteridaceae","Polypodiales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L1","tree","Hedera helix","L1_tree",2023-06-10,"Araliaceae","Apiales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Holcus lanatus","L1_tree",2023-06-10,"Poaceae","Poales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Myosotis arvensis","L1_tree",2023-06-10,"Boraginaceae","Boraginales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Poa trivialis","L1_tree",2023-06-10,"Poaceae","Poales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L1","tree","Prunus serotina","L1_tree",2023-06-10,"Rosaceae","Rosales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Prunus spinosa","L1_tree",2023-06-10,"Rosaceae","Rosales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"L1","tree","Quercus robur","L1_tree",2023-06-10,"Fagaceae","Fagales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",102,"10m² quadrat"
"L1","tree","Rubus Sec. Rubus","L1_tree",2023-06-10,"Rosaceae","Rosales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L1","tree","Stellaria holostea","L1_tree",2023-06-10,"Caryophyllaceae","Caryophyllales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L1","tree","Teucrium scorodonia","L1_tree",2023-06-10,"Lamiaceae","Lamiales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L1","tree","Vicia hirsuta","L1_tree",2023-06-10,"Fabaceae","Fabales",50.819168,4.673106,"plants","Ad","","Jari Vandendendriessche",4,"10m² quadrat"
"L2","crtl","Artemisia vulgaris","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Cerastium fontanum","L2_crtl",2023-06-10,"Caryophyllaceae","Caryophyllales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","crtl","Crepis capillaris","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Epilobium parviflorum","L2_crtl",2023-06-10,"Onagraceae","Myrtales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Epilobium spec.","L2_crtl",2023-06-10,"Onagraceae","Myrtales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","crtl","Erigeron canadensis","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Fallopia convolvulus","L2_crtl",2023-06-10,"Polygonaceae","Caryophyllales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Gnaphalium uliginosum","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L2","crtl","Holcus lanatus","L2_crtl",2023-06-10,"Poaceae","Poales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L2","crtl","Juncus bufonius","L2_crtl",2023-06-10,"Juncaceae","Poales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L2","crtl","Matricaria chamomilla","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"L2","crtl","Plantago lanceolata","L2_crtl",2023-06-10,"Plantaginaceae","Lamiales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Plantago major","L2_crtl",2023-06-10,"Plantaginaceae","Lamiales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Poa annua","L2_crtl",2023-06-10,"Poaceae","Poales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L2","crtl","Senecio vulgaris","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Sonchus arvensis","L2_crtl",2023-06-10,"Asteraceae","Asterales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Stellaria apetala","L2_crtl",2023-06-10,"Caryophyllaceae","Caryophyllales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","crtl","Trifolium pratense","L2_crtl",2023-06-10,"Fabaceae","Fabales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Trisetum flavescens","L2_crtl",2023-06-10,"Poaceae","Poales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Triticum aestivum","L2_crtl",2023-06-10,"Poaceae","Poales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Veronica arvensis","L2_crtl",2023-06-10,"Plantaginaceae","Lamiales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","crtl","Veronica persica","L2_crtl",2023-06-10,"Plantaginaceae","Lamiales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","crtl","Viola arvensis","L2_crtl",2023-06-10,"Violaceae","Malpighiales",50.829258,4.671156,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","tree","Acer pseudoplatanus","L2_tree",2023-06-10,"Sapindaceae","Sapindales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","tree","Galium aparine","L2_tree",2023-06-10,"Rubiaceae","Gentianales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"L2","tree","Geum urbanum","L2_tree",2023-06-10,"Rosaceae","Rosales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"L2","tree","Holcus lanatus","L2_tree",2023-06-10,"Poaceae","Poales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"L2","tree","Juncus bufonius","L2_tree",2023-06-10,"Juncaceae","Poales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","tree","Poa trivialis","L2_tree",2023-06-10,"Poaceae","Poales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"L2","tree","Prunus serotina","L2_tree",2023-06-10,"Rosaceae","Rosales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"L2","tree","Quercus robur","L2_tree",2023-06-10,"Fagaceae","Fagales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"L2","tree","Rubus Sec. Rubus","L2_tree",2023-06-10,"Rosaceae","Rosales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"L2","tree","Sambucus nigra","L2_tree",2023-06-10,"Viburnaceae","Dipsacales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",76,"10m² quadrat"
"L2","tree","Urtica dioica","L2_tree",2023-06-10,"Urticaceae","Rosales",50.830441,4.670732,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crop","Chenopodium album","Mb_crop",2023-06-14,"Amaranthaceae","Caryophyllales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crop","Galinsoga quadriradiata","Mb_crop",2023-06-14,"Asteraceae","Asterales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crop","Hypochaeris radicata","Mb_crop",2023-06-14,"Asteraceae","Asterales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crop","Persicaria amphibia","Mb_crop",2023-06-14,"Polygonaceae","Caryophyllales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crop","Plantago major","Mb_crop",2023-06-14,"Plantaginaceae","Lamiales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crop","Poa annua","Mb_crop",2023-06-14,"Poaceae","Poales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crop","Triticum aestivum","Mb_crop",2023-06-14,"Poaceae","Poales",50.970043,3.755069,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat"
"Mb","crtl","Achillea millefolium","Mb_crtl",2023-06-14,"Asteraceae","Asterales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Mb","crtl","Anagallis arvensis","Mb_crtl",2023-06-14,"Primulaceae","Ericales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Arrhenatherum elatius","Mb_crtl",2023-06-14,"Poaceae","Poales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Mb","crtl","Chenopodium album","Mb_crtl",2023-06-14,"Amaranthaceae","Caryophyllales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crtl","Dactylis glomerata","Mb_crtl",2023-06-14,"Poaceae","Poales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Mb","crtl","Equisetum arvense","Mb_crtl",2023-06-14,"Equisetaceae","Equisetales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Mb","crtl","Galinsoga quadriradiata","Mb_crtl",2023-06-14,"Asteraceae","Asterales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Hordeum vulgare","Mb_crtl",2023-06-14,"Poaceae","Poales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Mb","crtl","Lamium purpureum","Mb_crtl",2023-06-14,"Lamiaceae","Lamiales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Matricaria chamomilla","Mb_crtl",2023-06-14,"Asteraceae","Asterales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Mb","crtl","Papaver rhoeas","Mb_crtl",2023-06-14,"Papaveraceae","Ranunculales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Persicaria amphibia","Mb_crtl",2023-06-14,"Polygonaceae","Caryophyllales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Plantago major","Mb_crtl",2023-06-14,"Plantaginaceae","Lamiales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Mb","crtl","Poa trivialis","Mb_crtl",2023-06-14,"Poaceae","Poales",50.969597,3.755234,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
